gps_msg.header.stamp.to_sec(),gps_msg.latitude,gps_msg.longitude,timed_compass_msg.header.stamp.to_sec(),timed_compass_msg.range,vfr_hud_msg.header.stamp.to_sec(),vfr_hud_msg.groundspeed,gps_velocity_msg.header.stamp.to_sec(),gps_velocity_msg.twist.linear.x,gps_velocity_msg.twist.linear.y,imu_msg.header.stamp.to_sec(),imu_msg.pose.pose.position.x,imu_msg.pose.pose.position.y,imu_msg.pose.pose.position.z,imu_msg.pose.pose.orientation.x,imu_msg.pose.pose.orientation.y,imu_msg.pose.pose.orientation.z,imu_msg.pose.pose.orientation.w,imu_msg.twist.twist.linear.x,imu_msg.twist.twist.linear.y,imu_msg.twist.twist.linear.z,imu_msg.twist.twist.angular.x,imu_msg.twist.twist.angular.y,imu_msg.twist.twist.angular.z,sonde_msg.header.stamp.to_sec(),yymmdd,hhmmss,battery_v,temperature_c,depth_m,cond_uS_cm,pH,spcond_mS_cm,spcond_Us_cm,chlorophyll_rfu,odo_pct_sat,odo_mg_l,turbidity_ntu,bga_pc_rfu,chlorophyll_ug_l,bga_pc_ug_l
1662032419.0502353,43.4103177,-72.0367438,1675302471.613965,2.57,1662032419.28931,1.0843558311462402,1662032419.0552351,-0.48254989575477847,0.8872686166584799,1662032419.0902352,17.31753921508789,29.565448760986328,-0.6423104405403137,0.03566607383002558,0.03154401210894861,-0.6907165982637521,-0.7215562953509396,0.9986780069955156,0.49045987648570505,0.010799647998497072,0.035882752388715744,0.09126076847314835,-0.013863647356629382,1662032419.457342,220901.0,74018.0,4.96999979019165,24.229000091552734,-0.15800000727176666,106.51000213623047,7.230000019073486,0.1080000028014183,108.11000061035156,0.11999999731779099,102.51000213623047,8.59000015258789,-0.27000001072883606,-0.1599999964237213,0.4699999988079071,-0.1599999964237213
1662032420.0502353,43.410326,-72.0367496,1675302472.615272,2.4,1662032420.2892935,1.0436615943908691,1662032420.0552351,-0.5907418691583725,1.124243765392218,1662032420.0712352,16.855619430541992,30.463985443115234,-0.6961244344711304,0.03436126894033205,0.026002137818882137,-0.6892050764125867,-0.7232838686662231,0.9912015777393555,0.5054448006873608,-0.05189749357232325,0.019861817359924316,0.16121788322925568,0.024965159595012644,1662032420.45733,220901.0,74019.0,4.96999979019165,24.231000900268555,-0.15800000727176666,106.51000213623047,7.230000019073486,0.1080000028014183,108.0999984741211,0.10999999940395355,102.51000213623047,8.59000015258789,-0.30000001192092896,-0.15000000596046448,0.41999998688697815,-0.15000000596046448
1662032421.0502353,43.4103347,-72.0367556,1675302473.608314,3.01,1662032421.2892942,1.097274899482727,1662032421.0552351,-0.5500072087417077,1.066532732892974,1662032421.0712352,16.37103843688965,31.440532684326172,-0.7669470310211182,0.04212800960609277,0.020928804361887286,-0.6871054514798345,-0.7250333195800754,0.9797636858619309,0.49502231757252496,0.0883639314369928,-0.088676318526268,0.2886468172073364,0.013385813683271373,1662032421.457331,220901.0,74020.0,4.96999979019165,24.232999801635742,-0.1589999943971634,106.48999786376953,7.21999979019165,0.1080000028014183,108.08000183105469,0.07999999821186066,102.51000213623047,8.59000015258789,-0.27000001072883606,-0.09000000357627869,0.30000001192092896,-0.09000000357627869
1662032422.0502353,43.4103436,-72.036762,1675302474.614806,3.45,1662032422.2892768,1.1371666193008423,1662032422.0552351,-0.5685541325127198,0.8708307518701374,1662032422.0902352,15.840974807739258,32.450111389160156,-0.7157200574874878,0.032505074263968745,0.01845586269472272,-0.6862136802675082,-0.7264389763035912,0.9919430388844374,0.5156948375816824,0.021979776230643115,0.03619120642542839,-0.030876383185386658,0.010836930945515636,1662032422.457336,220901.0,74021.0,4.96999979019165,24.231000900268555,-0.1599999964237213,106.48999786376953,7.21999979019165,0.1080000028014183,108.06999969482422,0.05999999865889549,102.51000213623047,8.59000015258789,-0.25999999046325684,-0.07999999821186066,0.23999999463558197,-0.07999999821186066
1662032423.0702353,43.4103519,-72.0367687,1675302475.629722,4.52,1662032423.2892835,1.0584522485733032,1662032423.0552351,-0.6113464440575699,0.9622138667355425,1662032423.0902352,15.309747695922852,33.349178314208984,-0.7982293367385864,0.024842260196447034,0.03374878954658944,-0.6788314989070263,-0.7330973178262977,0.9858228908503468,0.5952595135510621,-0.26472537709720345,0.09463813900947571,-0.0844329372048378,-0.033737033605575555,1662032423.457334,220901.0,74022.0,4.96999979019165,24.224000930786133,-0.16099999845027924,106.48999786376953,7.210000038146973,0.1080000028014183,108.08999633789062,0.07000000029802322,102.51000213623047,8.59000015258789,-0.2199999988079071,-0.10000000149011612,0.2800000011920929,-0.10999999940395355
1662032424.0502353,43.4103595,-72.0367747,1675302476.613418,5.54,1662032424.2893686,1.046927809715271,1662032424.0552351,-0.4688176478111159,0.8605870165769713,1662032424.0712352,14.822246551513672,34.2021369934082,-0.867760419845581,0.03910414345835117,0.025251028648016097,-0.6716784839763261,-0.7393789729765581,0.9355373789743293,0.5415966292617352,0.023234146420236253,0.013778047636151314,0.22083218395709991,-0.0013084310339764032,1662032424.457334,220901.0,74023.0,4.96999979019165,24.2189998626709,-0.16099999845027924,106.4800033569336,7.21999979019165,0.1080000028014183,108.08999633789062,0.11999999731779099,102.5,8.59000015258789,-0.27000001072883606,-0.10000000149011612,0.44999998807907104,-0.10000000149011612
1662032425.5302353,43.4103729,-72.0367836,1675302478.088,6.79,1662032425.289293,1.1255940198898315,1662032425.4552352,-0.4848172913028627,1.0096297311657159,1662032425.0902352,14.318109512329102,35.190372467041016,-0.840388298034668,0.04523353919808578,0.025270886524163462,-0.6681059191256742,-0.7422599208196116,0.9311572884825109,0.5111283987701294,0.1345187283430077,0.030939171090722084,0.0424686037003994,0.024452824145555493,1662032425.457333,220901.0,74024.0,4.96999979019165,24.214000701904297,-0.16200000047683716,106.54000091552734,7.21999979019165,0.1080000028014183,108.16000366210938,0.10000000149011612,102.51000213623047,8.59000015258789,-0.3100000023841858,-0.03999999910593033,0.3700000047683716,-0.05000000074505806
1662032426.0702353,43.410378,-72.0367868,1675302478.627907,7.19,1662032426.2893105,1.1408120393753052,1662032426.0552351,-0.4818631199582718,0.9888417131290934,1662032426.0902352,13.849590301513672,36.256778717041016,-0.804269015789032,0.047741959506059785,0.02962405939311554,-0.6631263773641852,-0.7463956913403555,1.007297644041967,0.5673392743071884,0.06318140138821422,0.033121589571237564,0.0011253021657466897,0.006597266532480717,1662032426.457333,220901.0,74025.0,4.96999979019165,24.216999053955078,-0.16300000250339508,106.6500015258789,7.21999979019165,0.1080000028014183,108.2699966430664,0.05999999865889549,102.5199966430664,8.59000015258789,-0.27000001072883606,0.009999999776482582,0.2199999988079071,0.0
1662032427.0902352,43.4103876,-72.0367931,1675302479.654107,6.71,1662032427.2893097,1.1277570724487305,1662032427.0552351,-0.47799553009945983,0.9796020994286081,1662032427.1102352,13.340681076049805,37.32605743408203,-0.7756873965263367,0.04195738011570747,0.026368634824276933,-0.6634711727619736,-0.7465589569921329,0.9753548167645296,0.5561131924053551,0.05694236936337312,0.04052469879388809,0.01568202301859856,0.015670131891965863,1662032427.457335,220901.0,74026.0,4.96999979019165,24.224000930786133,-0.164000004529953,106.62999725341797,7.21999979019165,0.1080000028014183,108.2300033569336,0.09000000357627869,102.5199966430664,8.59000015258789,-0.23999999463558197,-0.029999999329447746,0.3400000035762787,-0.03999999910593033
1662032428.0702353,43.4103965,-72.0367987,1675302480.628783,7.08,1662032428.2894156,1.1860675811767578,1662032428.0552351,-0.499216665283184,1.0025880116496195,1662032428.0902352,12.884159088134766,38.32406997680664,-0.7980870604515076,0.04348771233600201,0.02374968556318816,-0.6610470841215529,-0.7487065672784123,1.0094848335916227,0.5576155605899386,0.05423276715056112,0.07664809376001358,0.008048923686146733,-0.026154296472668648,1662032428.457336,220901.0,74027.0,4.96999979019165,24.226999282836914,-0.164000004529953,106.55000305175781,7.21999979019165,0.1080000028014183,108.1500015258789,0.09000000357627869,102.5199966430664,8.59000015258789,-0.2800000011920929,-0.05000000074505806,0.33000001311302185,-0.05000000074505806
